1756960584849: GET: /users
1756960624664: GET: /api/users 

 1756960679735: GET: /api/users
 1756960692196: GET: /api/users
 1756960769442: ::1: GET: /api/users
 1756960902165: ::1: GET: /api/users
 1756960918267: ::ffff:127.0.0.1: GET: /api/users
 1756961077546: 127.0.0.1: GET: /api/users
 1756962955433: 127.0.0.1: PATCH: /api/users/1
 1756962972299: 127.0.0.1: GET: /api/users
 1756963007818: 127.0.0.1: PATCH: /api/users/1
 1756963107475: 127.0.0.1: DELETE: /api/users/1008
 1756963235311: 127.0.0.1: DELETE: /api/users/1008
 1756963244794: 127.0.0.1: GET: /users
 1756963282867: 127.0.0.1: GET: /users
 1756963313349: 127.0.0.1: GET: /users
 1756963422542: 127.0.0.1: GET: /users
 1756963436508: 127.0.0.1: GET: /users
 1756963461118: 127.0.0.1: GET: /users
 1756963489924: 127.0.0.1: GET: /users
 1756963523621: 127.0.0.1: GET: /api/users/5
 1756963543326: 127.0.0.1: GET: /api/users/5
 1756963767957: 127.0.0.1: PATCH: /api/users/1
 1756963790746: 127.0.0.1: PATCH: /api/users/1
 1756963799573: 127.0.0.1: PATCH: /api/users/1
 1756963817524: 127.0.0.1: PATCH: /api/users/1
 1756963960181: 127.0.0.1: PATCH: /api/users/1
 1756963974262: 127.0.0.1: PATCH: /api/users/1
 1756964042558: 127.0.0.1: PATCH: /api/users/1
 1756964221901: 127.0.0.1: GET: /api/users
 1756964222338: 127.0.0.1: GET: /favicon.ico
 1756964239394: 127.0.0.1: GET: /api/users
 1756964248184: 127.0.0.1: GET: /api/users
 1756964800910: 172.16.22.89: GET: /api/users
 1756964801053: 172.16.22.89: GET: /favicon.ico
 1756964859421: 172.16.22.86: GET: /api/users
 1756964861650: 172.16.22.86: GET: /favicon.ico
 1756965459007: 172.16.22.89: GET: /api/users
 1756966153308: 172.16.22.248: GET: /api/users
 1756966153615: 172.16.22.248: GET: /favicon.ico
 1756966220818: 172.16.22.248: GET: /api/users
 1756969247400: 127.0.0.1: GET: /users
